Rank,Team,Points,Previous Points,Rank Change,Confederation,Rank Date
1,Argentina,25,27.5,€716.50m,CONMEBOL,1867-01-01
2,France,23,26.8,€978.00m,UEFA,1860-01-01
3,Spain,24,25.9,€890.00m,UEFA,1853-01-01
4,England,23,25.3,€995.00m,UEFA,1814-01-01
5,Brazil,23,27.0,€921.80m,CONMEBOL,1776-01-01
6,Portugal,26,26.1,€835.00m,UEFA,1756-01-01
7,Netherlands,25,26.2,€776.50m,UEFA,1748-01-01
8,Belgium,19,24.9,€333.00m,UEFA,1741-01-01
9,Italy,23,25.3,€729.00m,UEFA,1732-01-01
10,Germany,22,28.6,€781.00m,UEFA,1704-01-01
11,Uruguay,22,26.5,€398.00m,CONMEBOL,1696-01-01
12,Colombia,26,29.0,€291.20m,CONMEBOL,1694-01-01
13,Croatia,26,27.9,€289.20m,UEFA,1692-01-01
14,Morocco,26,26.7,€386.50m,CAF,1688-01-01
15,Japan,27,27.1,€280.50m,AFC,
16,United States,23,25.5,€61.10m,CONCACAF,
17,Senegal,23,27.7,€249.00m,CAF,
18,Iran,28,28.1,€46.65m,AFC,
19,Mexico,27,27.7,€163.95m,CONCACAF,
20,Switzerland,22,27.6,€173.90m,UEFA,
21,Denmark,26,26.6,€415.25m,UEFA,
22,Austria,24,28.0,€212.10m,UEFA,
23,South Korea,26,28.3,€158.15m,AFC,
24,Ecuador,25,26.0,€275.50m,CONMEBOL,
25,Ukraine,22,25.8,€286.00m,UEFA,
26,Australia,27,28.4,€39.00m,AFC,
27,Sweden,25,26.6,€350.45m,UEFA,
28,Turkiye,31,26.4,€393.00m,UEFA,
29,Wales,26,26.6,€166.20m,UEFA,
30,Hungary,24,27.7,€128.35m,UEFA,
31,Canada,23,26.9,€130.55m,CONCACAF,
32,Serbia,22,25.8,€249.50m,UEFA,
33,Egypt,25,28.0,€93.70m,CAF,
34,Russia,29,25.5,€158.20m,UEFA,
35,Poland,24,25.6,€182.40m,UEFA,
36,Panama,22,24.8,€4.41m,CONCACAF,
37,Algeria,26,27.1,€181.45m,CAF,
38,Romania,26,27.5,€112.70m,UEFA,
39,Greece,26,26.4,€208.60m,UEFA,
40,Peru,29,30.0,€31.38m,CONMEBOL,
41,Slovakia,27,27.7,€141.33m,UEFA,
42,Czech Republic,24,27.5,€135.30m,UEFA,
43,Norway,23,26.2,€377.70m,UEFA,
44,Nigeria,23,26.7,€345.90m,CAF,
45,Scotland,22,29.4,€182.70m,UEFA,
46,Ivory Coast,25,26.4,€275.65m,CAF,
47,Venezuela,40,27.4,€86.48m,CONMEBOL,
48,Qatar,26,26.0,€18.98m,AFC,
