Rank,Nation,Squad Size,Avg Age,Total Value,Confederation,Points
1,Argentina,25,27.5,716500000.0,CONMEBOL,1867
2,France,23,26.8,978000000.0,UEFA,1860
3,Spain,24,25.9,890000000.0,UEFA,1853
4,England,23,25.3,995000000.0,UEFA,1814
5,Brazil,23,27.0,921800000.0,CONMEBOL,1776
6,Portugal,26,26.1,835000000.0,UEFA,1756
7,Netherlands,25,26.2,776500000.0,UEFA,1748
8,Belgium,19,24.9,333000000.0,UEFA,1741
9,Italy,23,25.3,729000000.0,UEFA,1732
10,Germany,22,28.6,781000000.0,UEFA,1704
11,Uruguay,22,26.5,398000000.0,CONMEBOL,1696
12,Colombia,26,29.0,291200000.0,CONMEBOL,1694
13,Croatia,26,27.9,289200000.0,UEFA,1692
14,Morocco,26,26.7,386500000.0,CAF,1688
15,Japan,27,27.1,280500000.0,AFC,1653
16,United States,23,25.5,61100000.0,CONCACAF,1645
17,Senegal,23,27.7,249000000.0,CAF,1637
18,Iran,28,28.1,46650000.0,AFC,1635
19,Mexico,27,27.7,163950000.0,CONCACAF,1627
20,Switzerland,22,27.6,173900000.0,UEFA,1625
21,Denmark,26,26.6,415250000.0,UEFA,1611
22,Austria,24,28.0,212100000.0,UEFA,1590
23,South Korea,26,28.3,158150000.0,AFC,1585
24,Ecuador,25,26.0,275500000.0,CONMEBOL,1560
25,Ukraine,22,25.8,286000000.0,UEFA,1555
26,Australia,27,28.4,39000000.0,AFC,1544
27,Sweden,25,26.6,350450000.0,UEFA,1540
28,Turkiye,31,26.4,393000000.0,UEFA,1537
29,Wales,26,26.6,166200000.0,UEFA,1534
30,Hungary,24,27.7,128350000.0,UEFA,1518
31,Canada,23,26.9,130550000.00000001,CONCACAF,1516
32,Serbia,22,25.8,249500000.0,UEFA,1514
33,Egypt,25,28.0,93700000.0,CAF,1513
34,Russia,29,25.5,158200000.0,UEFA,1512
35,Poland,24,25.6,182400000.0,UEFA,1511
36,Panama,22,24.8,4410000.0,CONCACAF,1504
37,Algeria,26,27.1,181450000.0,CAF,1496
38,Romania,26,27.5,112700000.0,UEFA,1494
39,Greece,26,26.4,208600000.0,UEFA,1490
40,Peru,29,30.0,31380000.0,CONMEBOL,1488
41,Slovakia,27,27.7,141330000.0,UEFA,1486
42,Czech Republic,24,27.5,135300000.0,UEFA,1485
43,Norway,23,26.2,377700000.0,UEFA,1484
44,Nigeria,23,26.7,345900000.0,CAF,1482
45,Scotland,22,29.4,182700000.0,UEFA,1480
46,Ivory Coast,25,26.4,275650000.0,CAF,1478
47,Venezuela,40,27.4,86480000.0,CONMEBOL,1476
48,Qatar,26,26.0,18980000.0,AFC,1475
49,Cameroon,24,27.2,216600000.0,CAF,1471
50,Chile,24,27.4,28600000.0,CONMEBOL,1469
51,Mali,24,25.1,119830000.0,CAF,1466
52,Tunisia,26,27.0,53200000.0,CAF,1464
53,Paraguay,28,27.8,135650000.0,CONMEBOL,1458
54,Costa Rica,24,24.9,7130000.0,CONCACAF,1455
55,Slovenia,23,28.1,139400000.0,UEFA,1454
56,Iraq,26,25.8,10500000.0,AFC,1443
57,South Africa,23,27.8,32299999.999999996,CAF,1429
58,Uzbekistan,25,27.7,47000000.0,AFC,1425
59,Saudi Arabia,25,27.1,18850000.0,AFC,1407
60,Republic of Ireland,23,25.6,204100000.0,UEFA,1400
61,Democratic Republic of the Congo,26,27.4,99000000.0,CAF,1396
62,Jamaica,27,27.3,79980000.0,CONCACAF,1391
63,United Arab Emirates,24,26.5,35950000.0,AFC,1386
64,Jordan,26,26.9,14580000.0,AFC,1376
65,Albania,25,27.6,89800000.0,UEFA,1376
66,Burkina Faso,29,25.9,99250000.0,CAF,1374
67,North Macedonia,27,27.5,38080000.0,UEFA,1369
68,Georgia,23,26.9,196750000.0,UEFA,1362
69,Finland,26,28.6,38750000.0,UEFA,1362
70,Iceland,23,26.3,55580000.0,UEFA,1355
71,Northern Ireland,27,25.2,62750000.0,UEFA,1350
72,Cape Verde,24,28.4,41500000.0,CAF,1329
73,Montenegro,27,28.5,30030000.0,UEFA,1327
